,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
43,601231,环旭电子,元器件,上海,28.92,21.76,21.76,1666218.38,1447613.5,158077.42,162849.27,0.75,0.396,3.76,4.06,20120220,409641.44,1.88,22.48,62.26,11.2,4.27,31346.0
57,600295,鄂尔多斯,小金属,内蒙,35.88,6.12,10.32,4910733.0,1840357.0,2170156.75,130646.86,1.27,0.351,7.35,2.29,20010426,470609.59,4.56,36.19,93.61,26.9,2.36,78663.0
76,600787,中储股份,仓储物流,天津,15.41,18.6,22.0,2073895.75,1113647.0,197384.67,356935.0,1.62,0.55,4.77,2.37,19970121,354720.97,1.61,98.58,180.87,4.18,6.28,74929.0
102,600803,新奥股份,农药化肥,河北,31.17,9.86,9.86,2020170.0,547034.0,512129.91,-19058.82,-0.19,0.39,4.96,3.26,19940103,386100.22,3.92,75.4,97.02,25.85,5.48,34804.0
104,600515,海航基础,百货,海南,27.37,16.58,39.08,9045662.0,5247626.5,776273.0,2459795.25,6.29,0.384,8.24,1.7,20020806,308863.31,0.79,38.89,113.86,41.38,19.49,20926.0
111,600282,南钢股份,普钢,江苏,8.26,38.76,44.09,3800432.0,1415680.63,2104298.25,175370.88,0.4,0.464,2.36,2.16,20000919,348252.13,0.79,53.13,799.15,14.61,7.56,141912.0
142,600745,闻泰科技,通信设备,湖北,56.66,4.83,6.37,1212884.13,878732.13,107582.47,237585.41,3.73,0.442,5.48,6.1,19960828,43358.05,0.68,47.87,743.6,8.15,2.24,20858.0
160,601012,隆基股份,半导体,陕西,22.69,19.66,19.96,2948550.25,1579984.5,1019841.5,541435.13,2.71,1.123,6.09,5.57,20120411,472479.34,2.37,27.23,103.99,34.99,20.66,54104.0
168,600844,*ST丹科,化工原料,上海,57.07,8.23,10.17,356770.38,60524.05,169094.88,176197.75,1.73,0.073,1.9,2.91,19940311,-90464.03,-0.89,62.78,169.8,37.53,8.74,40040.0
176,600188,兖州煤业,煤炭开采,山东,10.11,29.6,49.12,18878752.0,6212727.0,3937975.25,176830.41,0.36,0.974,8.87,1.48,19980701,3552271.25,7.23,84.04,369.88,13.36,4.01,56494.0
177,601233,桐昆股份,化纤,浙江,17.53,12.05,13.01,2288708.75,655816.13,978688.63,551884.5,4.24,0.93,9.56,2.16,20110518,459372.94,3.53,31.63,104.98,9.75,4.92,28262.0
188,600331,宏达股份,铅锌,四川,35.61,20.32,20.32,986060.88,332683.19,314799.94,307823.06,1.51,0.106,2.43,2.08,20011220,-35094.68,-0.17,29.56,317.29,27.82,6.31,80632.0
198,603040,新坐标,机械基件,浙江,44.63,0.15,0.61,62574.25,43566.53,14319.82,27018.01,4.42,1.3,9.61,7.44,20170209,23133.7,3.79,88.18,120.1,63.49,38.85,5070.0
222,600782,新钢股份,普钢,江西,11.62,27.87,31.89,2838560.0,1611865.75,1021089.38,428630.19,1.34,0.49,3.55,1.88,19961225,252318.7,0.79,65.61,398.36,7.54,3.87,60549.0
230,600507,方大特钢,特种钢,江西,9.32,13.26,13.26,1041598.81,631472.31,212407.2,4625.16,0.03,1.161,2.91,4.96,20030930,204533.25,1.54,67.8,232.56,29.44,15.2,72007.0
235,603588,高能环境,环境保护,北京,48.04,4.89,6.62,545736.44,240162.05,30511.35,58646.78,0.89,0.195,3.19,3.93,20141229,89397.43,1.35,71.19,71.89,27.84,8.52,22094.0
258,600667,太极实业,半导体,江苏,45.11,11.91,21.06,1726048.38,1028944.81,502782.56,325909.5,1.55,0.141,2.88,2.95,19930728,63162.07,0.3,28.61,123.22,14.12,3.58,72535.0
263,600283,钱江水利,水务,浙江,55.36,3.36,3.53,495800.06,111021.55,228187.97,116163.15,3.29,0.174,5.11,2.51,20001018,15323.47,0.43,22.01,133.74,40.92,8.47,35778.0
265,603993,洛阳钼业,小金属,河南,66.63,129.54,215.99,10020716.0,3879243.5,2492202.25,2763653.0,1.28,0.09,1.73,3.82,20121009,452227.69,0.21,406.47,174.98,35.33,9.06,271587.0
277,600260,凯乐科技,通信设备,湖北,29.25,5.39,7.09,1674883.25,1403519.25,73469.25,211148.47,2.98,0.77,6.33,4.52,20000706,138505.06,1.95,104.44,360.35,11.9,4.6,29221.0
293,600183,生益科技,元器件,广东,19.38,14.56,14.56,1078938.38,653243.63,352075.59,127586.21,0.88,0.56,3.75,3.82,19981028,206038.02,1.42,26.5,61.32,22.06,10.44,55847.0
307,600720,祁连山,水泥,甘肃,10.84,7.76,7.76,1036219.19,249589.67,626948.06,134124.81,1.73,0.747,6.92,1.56,19960716,266734.13,3.44,21.99,184.52,31.63,12.53,58244.0
314,603808,歌力思,服饰,深圳,26.26,1.13,3.37,324831.41,149185.27,20417.93,107326.65,3.18,0.61,5.82,3.61,20150422,65636.18,1.95,101.91,124.25,69.77,14.66,10985.0
317,600258,首旅酒店,酒店餐饮,北京,28.26,2.79,8.16,1718725.75,214291.16,254155.47,489234.94,6.0,0.73,8.9,2.86,20000601,131734.38,1.61,40.15,250.87,94.6,8.72,15326.0
355,600701,工大高新,综合类,黑龙江,37.46,7.76,10.35,951440.0,465946.44,218297.0,278449.72,2.69,0.212,4.27,2.48,19960528,46107.19,0.45,223.0,1539.04,27.05,7.97,58008.0
359,603030,全筑股份,装修装饰,上海,67.8,2.45,5.39,531907.06,461721.56,45559.01,50187.39,0.93,0.09,2.81,2.91,20150320,43155.68,0.8,35.06,61.93,10.96,1.62,20788.0
362,603416,信捷电气,电气设备,江苏,33.37,0.35,1.41,104297.21,84806.56,5901.37,36960.89,2.63,0.697,6.44,4.82,20161221,35958.43,2.56,37.71,52.23,44.03,28.91,11057.0
380,600651,飞乐音响,电器仪表,上海,14.55,7.69,9.92,1561411.75,898179.31,125748.05,151194.47,1.52,0.526,4.0,2.56,19901219,140119.48,1.41,20.65,374.6,25.89,8.68,67087.0
391,603002,宏昌电子,化工原料,广东,78.53,6.06,6.14,159757.44,99200.1,17087.18,9851.33,0.16,0.06,1.72,3.65,20120518,29826.26,0.49,22.97,93.11,12.59,4.5,33567.0
409,603338,浙江鼎力,专用机械,浙江,41.84,0.46,1.77,176783.7,113657.5,21053.56,38886.46,2.2,1.4,7.91,9.07,20150325,66883.84,3.78,74.15,70.28,42.92,26.27,8361.0
417,600449,宁夏建材,水泥,宁夏,14.73,4.78,4.78,744626.5,255352.38,428071.31,203367.38,4.25,0.6,9.42,1.25,20030829,179191.88,3.75,27.48,224.52,30.1,8.35,33650.0
428,600133,东湖高新,园区开发,湖北,5.97,5.38,6.34,2177801.75,1589976.0,91217.18,54477.85,0.86,1.158,4.11,2.24,19980212,116914.02,1.84,58.9,2158.81,12.76,15.51,101512.0
447,603239,浙江仙通,汽车配件,浙江,31.42,0.68,2.71,109168.35,77141.96,23693.23,30109.5,1.11,0.449,3.49,5.39,20161230,32984.4,1.22,32.74,51.93,44.09,24.54,14722.0
458,603660,苏州科达,通信设备,江苏,62.9,1.7,2.5,161012.95,137074.05,8572.37,33548.4,1.34,0.406,4.88,6.99,20161201,62557.61,2.5,25.38,329.51,68.42,9.34,13328.0
475,601225,陕西煤业,煤炭开采,陕西,7.44,100.0,100.0,10287576.0,2963591.25,2892447.75,738916.13,0.74,0.807,4.24,1.89,20140128,2135405.75,2.14,94.06,686.13,54.23,20.48,65631.0
485,600338,西藏珠峰,铅锌,西藏,25.28,1.58,6.53,259307.97,143340.13,87635.71,2236.43,0.03,1.262,2.22,19.2,20001227,132532.36,2.03,66.49,83.52,71.54,46.5,12887.0
486,600581,八一钢铁,普钢,新疆,9.69,7.66,7.66,1381420.38,765203.56,594910.44,410865.09,5.36,1.129,4.0,3.65,20020816,-261744.47,-3.42,82.47,256.8,14.38,6.88,67721.0
487,603319,湘油泵,汽车配件,湖南,26.75,0.57,0.81,103968.28,56647.55,32718.15,20237.7,2.5,0.83,8.07,3.67,20161130,32774.5,4.05,49.61,87.57,31.64,11.62,9044.0
493,603788,宁波高发,汽车配件,浙江,25.89,0.5,1.64,213714.8,185988.06,14829.51,122453.06,7.45,1.2,10.71,3.32,20150120,35026.8,2.13,43.03,51.37,33.89,19.69,10146.0
495,600809,山西汾酒,白酒,山西,41.21,8.66,8.66,857578.38,590207.38,165889.47,24220.68,0.28,0.93,5.89,8.68,19940106,346454.78,4.0,42.8,78.54,69.39,16.59,31945.0
504,600231,凌钢股份,普钢,辽宁,10.96,16.08,25.19,1613151.88,609905.44,879360.38,45192.5,0.18,0.395,2.45,2.36,20000511,259201.02,1.03,32.28,7120.69,14.34,7.43,66277.0
508,600348,阳泉煤业,煤炭开采,山西,10.93,24.05,24.05,4051165.25,1260601.0,1392117.25,0.0,0.0,0.483,6.26,1.12,20030821,881283.63,3.66,81.31,813.99,18.33,5.19,101700.0
532,600392,盛和资源,小金属,山西,39.66,9.41,13.5,878951.19,656077.94,55406.48,251877.45,1.87,0.32,3.76,4.15,20030529,113773.22,0.84,644.32,699.24,19.9,10.03,97073.0
535,603869,北部湾旅,旅游服务,广西,29.48,1.12,3.49,591425.0,330391.94,81543.71,278256.69,7.98,0.548,10.51,2.05,20150326,48989.8,1.4,322.08,104.0,40.49,11.7,18563.0
559,601155,新城控股,区域地产,江苏,21.98,7.19,22.58,14881909.0,11512606.0,212237.77,260403.63,1.15,0.9,7.15,3.62,20151204,1146672.88,5.08,42.33,125.59,37.38,11.82,45312.0
612,600497,驰宏锌锗,铅锌,云南,30.63,43.1,50.91,3296117.25,525080.44,1165555.75,515882.31,1.01,0.2,2.21,3.12,20040420,-11274.55,-0.02,33.68,1105.91,17.9,6.11,208155.0
660,600636,*ST爱富,化工原料,上海,37.23,4.26,4.47,505800.69,250760.63,137403.94,149913.05,3.35,0.27,5.82,2.3,19930316,56670.5,1.27,29.19,164.44,16.66,2.91,43452.0
683,600308,华泰股份,造纸,山东,11.46,11.68,11.68,1426486.25,551941.0,723817.69,224376.7,1.92,0.414,5.94,1.06,20000928,299242.0,2.56,32.17,305.1,15.44,4.88,69870.0
687,600438,通威股份,饲料,四川,20.46,22.84,38.82,2513550.0,836245.06,1082841.25,572220.81,1.47,0.394,3.32,3.24,20040302,305053.66,0.79,24.95,69.53,18.74,7.79,41474.0
688,603726,朗迪集团,机械基件,浙江,25.04,0.24,0.95,125084.27,80226.93,36609.71,21133.47,2.23,0.922,8.36,3.68,20160421,46469.8,4.91,72.45,75.42,24.14,9.21,10202.0
721,600619,海立股份,机械基件,上海,38.14,4.61,8.66,1332957.75,829910.69,351294.75,209972.8,2.42,0.228,4.73,2.46,19921116,85735.93,0.99,50.61,261.89,13.87,2.49,61375.0
754,600217,中再资环,环境保护,陕西,51.84,7.2,14.11,461800.81,379568.72,46281.28,-2423.13,-0.02,0.106,1.14,6.41,19991216,69896.38,0.5,69.71,145.89,48.38,9.61,38987.0
762,600758,红阳能源,煤炭开采,辽宁,15.4,6.76,13.31,1671094.13,732664.88,687946.19,340929.41,2.56,0.357,4.24,1.73,19961029,63661.51,0.48,34.94,255.08,24.21,8.48,83148.0
763,603166,福达股份,汽车配件,广西,35.23,5.92,5.92,320768.19,137748.02,155020.25,103397.56,1.75,0.179,3.51,2.39,20141127,38601.71,0.65,35.58,80.13,24.71,10.91,31362.0
787,600293,三峡新材,玻璃,湖北,25.31,5.17,11.62,677747.38,327576.5,137012.3,203994.27,1.76,0.31,3.13,2.57,20000919,37081.15,0.32,1003.3,1217.91,8.01,3.05,36506.0
816,600567,山鹰纸业,造纸,安徽,10.47,45.51,45.51,2342805.75,947780.63,975940.19,430076.19,0.94,0.314,2.14,2.06,20011218,199647.77,0.44,46.26,591.15,23.14,11.55,233447.0
896,600755,厦门国贸,商贸代理,福建,8.21,17.76,17.76,8192813.0,7161934.5,127737.13,269903.5,1.52,0.8,6.13,1.62,19961003,590626.0,3.32,65.23,104.98,4.75,1.47,163930.0
907,600114,东睦股份,机械基件,浙江,25.57,4.21,4.36,313169.03,138484.8,108045.67,151450.73,3.47,0.5,5.62,2.92,20040511,53448.7,1.22,25.04,92.71,34.85,16.18,16371.0
923,600519,贵州茅台,白酒,贵州,29.57,12.56,12.56,12778004.0,10480329.0,1485118.38,137496.44,1.09,15.908,67.15,9.34,20010827,7327905.5,58.33,59.4,60.31,89.93,47.08,63980.0
932,600410,华胜天成,软件服务,北京,41.79,11.01,11.03,1179189.63,751011.19,47697.64,255920.84,2.32,0.171,4.45,2.15,20040427,109965.47,1.0,25.18,650.01,16.69,4.79,65000.0
937,600019,宝钢股份,普钢,上海,11.93,220.9,221.03,34661280.0,13254327.0,15759142.0,4821146.0,2.18,0.528,7.11,1.18,20001212,5894787.5,2.67,43.12,95.52,10.89,4.63,462744.0
943,600079,人福医药,化学制药,湖北,9.43,10.58,13.54,3541810.75,1529083.0,452726.81,380855.72,2.81,1.46,7.94,2.27,19970606,489673.19,3.62,21.75,211.3,39.12,18.15,44220.0
987,600808,马钢股份,普钢,安徽,9.19,59.68,77.01,6769849.0,2751136.0,3338734.0,834860.63,1.08,0.356,2.92,1.49,19940106,254929.52,0.33,60.24,260.78,11.94,5.18,246569.0
1010,600703,三安光电,半导体,湖北,33.73,40.78,40.78,2459086.25,1069533.0,777871.19,707753.69,1.74,0.583,4.66,5.63,19960528,744970.44,1.83,40.05,58.96,48.34,37.84,52813.0
1022,601238,广汽集团,汽车整车,广东,14.93,43.16,72.83,9184121.0,3809758.5,1085335.63,989218.81,1.36,1.38,7.95,3.08,20120329,3241203.75,4.45,49.44,59.79,23.16,17.44,21380.0
1029,600848,上海临港,园区开发,上海,64.76,4.0,11.2,1239929.88,966894.19,4389.56,423993.44,3.79,0.262,5.71,3.96,19940324,97563.13,0.87,43.95,52.65,52.4,21.13,51214.0
1039,600490,鹏欣资源,铜,上海,50.35,14.79,18.91,758765.19,340698.31,226327.59,337563.97,1.78,0.126,2.95,2.87,20030626,29995.78,0.16,99.37,389.9,11.58,5.89,110475.0
1046,601666,平煤股份,煤炭开采,河南,10.16,23.61,23.61,4231889.0,1570520.63,2250635.0,316825.28,1.34,0.435,5.21,1.13,20061123,462178.25,1.96,70.27,171.66,19.57,6.23,99415.0
1050,600638,新黄浦,区域地产,上海,10.55,5.61,5.61,982794.13,667543.25,55384.23,101560.7,1.81,1.168,7.56,2.17,19930326,228517.45,4.07,54.92,387.2,15.48,45.31,33081.0
1098,600971,恒源煤电,煤炭开采,安徽,7.98,10.0,10.0,1410025.75,639987.63,395475.34,210435.59,2.1,0.952,6.9,1.47,20040817,260015.97,2.6,73.26,713.65,35.28,18.6,47531.0
1122,600708,光明地产,全国地产,上海,14.86,9.89,17.14,5122413.5,4980656.0,30120.8,204986.25,1.2,0.35,5.38,1.29,19960606,512548.0,2.99,42.12,186.21,18.24,5.52,45440.0
1168,600746,江苏索普,化工原料,江苏,28.84,3.05,3.06,72255.36,40137.84,12866.46,6207.23,0.2,0.223,1.62,5.28,19960918,8919.3,0.29,32.59,195.89,20.46,11.43,21472.0
1180,600884,杉杉股份,电气设备,浙江,32.41,8.22,11.23,2078042.75,931037.19,230987.91,295897.72,2.64,0.417,8.22,2.19,19960130,253649.8,2.26,71.83,58.47,23.74,7.04,70256.0
1202,600998,九州通,医药商业,湖北,28.2,16.46,18.79,4757111.5,3995217.25,403650.59,450906.56,2.4,0.59,5.96,3.21,20101102,407756.22,2.17,20.4,108.78,8.2,1.75,21387.0
1216,603799,华友钴业,小金属,浙江,32.8,2.71,5.93,1375890.75,836729.69,328562.84,288167.81,4.86,1.852,8.92,9.08,20150129,169786.27,2.86,76.19,9723.36,33.25,17.86,52412.0
1217,600022,山东钢铁,普钢,山东,17.07,106.89,109.47,5110925.5,1730720.0,1307613.63,809070.13,0.74,0.11,1.56,1.43,20040629,-265848.53,-0.24,21.43,4031.6,6.68,2.44,318775.0
1274,600280,中央商场,百货,江苏,29.37,11.48,11.48,1598024.88,1243061.63,255309.66,1277.0,0.01,0.237,1.71,5.42,20000926,33828.07,0.29,43.73,240.1,23.83,4.21,57371.0
1277,603698,航天工程,专用机械,北京,36.3,0.89,4.12,381475.13,253883.17,65356.56,105933.5,2.57,0.416,5.99,3.36,20150128,86824.5,2.11,23.79,295.29,34.88,23.65,27476.0
1297,601717,郑煤机,工程机械,河南,28.95,13.78,17.32,1687148.38,1169585.88,256245.55,430338.41,2.48,0.19,6.27,1.13,20100803,418658.28,2.42,94.18,149.06,21.51,5.97,49321.0
1314,600883,博闻科技,水泥,云南,42.31,2.36,2.36,70893.9,40069.06,1375.32,824.22,0.03,0.184,2.86,3.63,19951208,29266.51,1.24,61.76,94.97,7.83,270.67,15967.0
1319,600980,北矿科技,元器件,北京,56.36,1.43,1.52,79929.63,54071.98,19102.68,27358.99,1.8,0.203,3.62,4.21,20040512,9074.26,0.6,49.59,70.77,29.79,9.46,27900.0
1331,600693,东百集团,百货,福建,51.51,6.85,8.98,653743.13,423280.19,68565.55,12741.26,0.14,0.154,2.28,4.63,19931122,84084.99,0.94,119.44,1606.07,19.74,5.16,13434.0
1366,601127,小康股份,汽车配件,重庆,27.84,1.8,9.09,2238655.5,1444912.88,285681.28,124380.07,1.37,0.55,4.48,4.47,20160615,191558.48,2.11,42.24,68.76,21.25,3.38,51406.0
1375,600815,*ST厦工,工程机械,福建,27.66,9.59,9.59,723271.44,539736.31,69866.92,205703.02,2.15,0.114,0.55,7.57,19940128,-275724.47,-2.88,35.52,120.75,9.92,3.27,50659.0
1378,600997,开滦股份,煤炭开采,河北,21.35,12.35,15.88,2340935.0,1004064.88,945103.38,256677.59,1.62,0.206,5.78,1.02,20040602,382132.13,2.41,84.99,60.63,9.91,2.31,64475.0
1383,601678,滨化股份,化工原料,山东,12.07,11.88,11.88,753735.69,167514.67,355298.97,127384.57,1.07,0.471,4.59,1.65,20100223,252899.8,2.13,36.8,300.82,26.78,12.2,46204.0
1390,600010,包钢股份,普钢,内蒙,61.98,220.39,455.85,14440730.0,3761919.25,6311459.0,139903.02,0.03,0.031,1.07,2.39,20010309,57339.48,0.01,74.39,497.81,15.15,4.03,505738.0
1394,600982,宁波热电,供气供热,浙江,25.73,7.47,7.47,407090.84,222107.55,81721.31,104906.63,1.4,0.124,3.35,1.27,20040706,54522.55,0.73,59.4,79.26,13.62,7.21,45321.0
1403,601001,大同煤业,煤炭开采,山西,11.47,16.74,16.74,2701883.0,1113434.38,514187.75,112711.22,0.67,0.392,3.4,1.76,20060623,101300.18,0.61,51.57,154.31,59.35,9.33,99278.0
